term,package,function_name,description,url
format(),base,base::format(),format object for pretty printing,https://rdrr.io/r/base/format.html
fread(),data.table,data.table::fread(),read delimited files,https://rdatatable.gitlab.io/data.table/reference/fread.html
full_join(),dplyr,dplyr::full_join(),join two data sets keeping the observations in both,https://dplyr.tidyverse.org/reference/mutate-joins.html
fwf_positions(),readr,readr::fwf_positions(),specify fields by positions,https://readr.tidyverse.org/reference/read_fwf.html
fwf_widths(),readr,readr::fwf_widths(),specify fields by widths,https://readr.tidyverse.org/reference/read_fwf.html
gam(),mgcv,mgcv::gam(),compute generalized additive model,https://rdrr.io/cran/mgcv/man/gam.html
gather_predictions(),modelr,modelr::gather_predictions(),add predictions and pivot longer,https://modelr.tidyverse.org/reference/add_predictions.html
geom_abline(),ggplot2,ggplot2::geom_abline(),"add vertical, horizontal, or diagonal reference lines",https://ggplot2.tidyverse.org/reference/geom_abline.html
geom_bar(),ggplot2,ggplot2::geom_bar(),create bar chart,https://ggplot2.tidyverse.org/reference/geom_bar.html
geom_boxplot(),ggplot2,ggplot2::geom_boxplot(),add layer of boxplots to plot,https://ggplot2.tidyverse.org/reference/geom_boxplot.html
geom_count(),ggplot2,ggplot2::geom_count(),add layer of points sized by count of overlapping points to plot,https://ggplot2.tidyverse.org/reference/geom_count.html
geom_hline(),ggplot2,ggplot2::geom_hline(),plot horizontal reference line,https://ggplot2.tidyverse.org/reference/geom_abline.html
geom_jitter(),ggplot2,ggplot2::geom_jitter(),add layer of jittered points to plot,https://ggplot2.tidyverse.org/reference/geom_jitter.html
geom_label(),ggplot2,ggplot2::geom_label(),adds text in rectangle to plot,https://ggplot2.tidyverse.org/reference/geom_text.html
geom_line(),ggplot2,ggplot2::geom_line(),add layer of data lines to plot,https://ggplot2.tidyverse.org/reference/geom_path.html
geom_point(),ggplot2,ggplot2::geom_point(),add layer of points to plot,https://ggplot2.tidyverse.org/reference/geom_point.html
geom_polygon(),ggplot2,ggplot2::geom_polygon(),add layer of polygons to plot,https://ggplot2.tidyverse.org/reference/geom_polygon.html
geom_rect(),ggplot2,ggplot2::geom_rect(),plot rectangle,https://ggplot2.tidyverse.org/reference/geom_tile.html
geom_ref_line(),modelr,modelr::geom_ref_line(),add reference line to plot,https://modelr.tidyverse.org/reference/geom_ref_line.html
geom_segment(),ggplot2,ggplot2::geom_segment(),plot line segment,https://ggplot2.tidyverse.org/reference/geom_segment.html
geom_smooth(),ggplot2,ggplot2::geom_smooth(),create smoothed lines to plot,https://ggplot2.tidyverse.org/reference/geom_smooth.html
geom_text(),ggplot2,ggplot2::geom_text(),adds text to plot,https://ggplot2.tidyverse.org/reference/geom_text.html
geom_vline(),ggplot2,ggplot2::geom_vline(),plot vertical reference line,https://ggplot2.tidyverse.org/reference/geom_abline.html
getS3method(),utils,utils::getS3method(),return a method for S3 generic function,https://rdrr.io/r/utils/getS3method.html
getwd(),base,base::getwd(),return working directory,https://rdrr.io/r/base/getwd.html
ggplot(),ggplot2,ggplot2::ggplot(),create a plotting area,https://ggplot2.tidyverse.org/reference/ggplot.html
ggsave(),ggplot2,ggplot2::ggsave(),save a ggplot,https://ggplot2.tidyverse.org/reference/ggsave.html
glance(),generics,generics::glance(),glance at an object,https://generics.r-lib.org/reference/glance.html
glm(),stats,stats::glm(),compute generalized linear model,https://rdrr.io/r/stats/glm.html
glmnet(),glmnet,glmnet::glmnet(),compute generalized linear model via penalized maximum likelihood,https://glmnet.stanford.edu/articles/glmnet.html
group_by(),dplyr,dplyr::group_by(),group data by levels of column,https://dplyr.tidyverse.org/reference/group_by.html
guess_encoding(),readr,readr::guess_encoding(),guess encoding of file,https://readr.tidyverse.org/reference/encoding.html
guess_parser(),readr,readr::guess_parser(),return the name of the parser,https://readr.tidyverse.org/reference/parse_guess.html
guide_colourbar(),ggplot2,ggplot2::guide_colourbar(),control legend color bar,https://ggplot2.tidyverse.org/reference/guide_colourbar.html
guide_legend(),ggplot2,ggplot2::guide_legend(),control legend formatting,https://ggplot2.tidyverse.org/reference/guide_legend.html
guides(),ggplot2,ggplot2::guides(),set guides for scale,https://ggplot2.tidyverse.org/reference/guides.html
head_while(),purrr,purrr::head_while(),find first elements that satisfy predicate,https://purrr.tidyverse.org/reference/head_while.html
head(),utils,utils::head(),"return first rows of matrix, data frame, etc.",https://rdrr.io/r/utils/head.html
hour(),lubridate,lubridate::hour(),return or set hour component of a date-time,https://lubridate.tidyverse.org/reference/hour.html
html_document(),rmarkdown,rmarkdown::html_document(),create HTML document from R markdown file,https://rdrr.io/pkg/rmarkdown/man/html_document.html
I(),base,base::I(),inhibit interpretation/conversion of objects,https://rdrr.io/r/base/AsIs.html
ifelse(),base,base::ifelse(),conditionally set values,https://rdrr.io/r/base/ifelse.html
inner_join(),dplyr,dplyr::inner_join(),join two data sets keeping the observations that they have in common,https://dplyr.tidyverse.org/reference/mutate-joins.html
install.packages(),utils,utils::install.packages(),install R packages,https://rdrr.io/r/utils/install.packages.html
intersect(),base,base::intersect(),return only observations in both x and y,https://rdrr.io/r/base/sets.html
invisible(),base,base::invisible(),return invisible copy of object,https://rdrr.io/r/base/invisible.html
ioslides_presentation(),rmarkdown,rmarkdown::ioslides_presentation(),create ioslides presentation from R markdown file,https://rdrr.io/cran/rmarkdown/man/ioslides_presentation.html
is.finite(),base,base::is.finite(),determines if numeric is finite,https://rdrr.io/r/base/is.finite.html
is.vector(),base,base::is.vector(),check if object is vector,https://rdrr.io/r/base/vector.html
kable(),knitr,knitr::kable(),create knitr table,https://rdrr.io/pkg/knitr/man/kable.html
keep(),purrr,purrr::keep(),keep elements using a predicate function,https://purrr.tidyverse.org/reference/keep.html
labs(),ggplot2,ggplot2::labs(),"modify axis, legend, and plot labels",https://ggplot2.tidyverse.org/reference/labs.html
lapply(),base,base::lapply(),apply a function to multiple elements of an object and return a list,https://rdrr.io/r/base/lapply.html
left_join(),dplyr,dplyr::left_join(),join two data sets keeping the observations in the left one,https://dplyr.tidyverse.org/reference/mutate-joins.html
length(),base,base::length(),return number of elements in a vector,https://rdrr.io/r/base/length.html
lengths(),base,base::lengths(),return length of each element of a list or vector,https://rdrr.io/r/base/lengths.html
levels(),base,base::levels(),view and change factor levels,https://rdrr.io/r/base/levels.html
library(),base,base::library(),load R packages,https://rdrr.io/r/base/library.html
list(),base,base::list(),create recursive vector (list),https://rdrr.io/r/base/list.html
loess(),stats,stats::loess(),apply local polynomial regression fitting,https://rdrr.io/r/stats/loess.html
make_datetime(),lubridate,lubridate::make_datetime(),create date-times from numeric representations,https://lubridate.tidyverse.org/reference/make_datetime.html
map_chr(),purrr,purrr::map_chr(),"apply a function to multiple elements of an object in purrr, return a character vector",https://purrr.tidyverse.org/reference/map.html
map_dbl(),purrr,purrr::map_dbl(),"apply a function to multiple elements of an object in purrr, return a double vector",https://purrr.tidyverse.org/reference/map.html
map_int(),purrr,purrr::map_int(),"apply a function to multiple elements of an object in purrr, return a integer vector",https://purrr.tidyverse.org/reference/map.html
map_lgl(),purrr,purrr::map_lgl(),"apply a function to multiple elements of an object in purrr, return a logical vector",https://purrr.tidyverse.org/reference/map.html
map(),purrr,purrr::map(),"apply a function to multiple elements of an object in purrr, return a list",https://purrr.tidyverse.org/reference/map.html
map2(),purrr,purrr::map2(),apply a function to multiple elements over two vectors in parallel,https://purrr.tidyverse.org/reference/map2.html
matrix(),base,base::matrix(),"create matrix of numbers, characters, etc.",https://rdrr.io/r/base/matrix.html
mdy_hm(),lubridate,lubridate::mdy_hm(),"parse month, day, year and hour, minute",https://lubridate.tidyverse.org/reference/ymd_hms.html
mdy(),lubridate,lubridate::mdy(),"parse dates as month, day, year",https://lubridate.tidyverse.org/reference/ymd.html
mean(),base,base::mean(),calculate mean of elements of vector,https://rdrr.io/r/base/mean.html
merge(),base,base::merge(),join two data sets,https://rdrr.io/r/base/merge.html
methods(),utils,utils::methods(),return all available methods for function,https://rdrr.io/r/utils/methods.html
minute(),lubridate,lubridate::minute(),return or set minute component of a date-time,https://lubridate.tidyverse.org/reference/minute.html
model_matrix(),modelr,modelr::model_matrix(),construct a design matrix,https://modelr.tidyverse.org/reference/model_matrix.html
month(),lubridate,lubridate::month(),return or set month component of a date-time,https://lubridate.tidyverse.org/reference/month.html
mutate(),dplyr,dplyr::mutate(),create or modify data columns,https://dplyr.tidyverse.org/reference/mutate.html
n(),dplyr,dplyr::n(),return current group size,https://dplyr.tidyverse.org/reference/context.html
names(),base,base::names(),return (and can assign) column names,https://rdrr.io/r/base/names.html
ncol(),base,base::ncol(),"return number of columns in matrix, <br> data frame, etc.",https://rdrr.io/r/base/ncol.html
nest(),tidyr,tidyr::nest(),creates nested list structure,https://tidyr.tidyverse.org/reference/nest.html
now(),lubridate,lubridate::now(),return current date and time,https://lubridate.tidyverse.org/reference/now.html
nrow(),base,base::nrow(),"return number of rows in matrix, <br> data frame, etc.",https://rdrr.io/r/base/nrow.html
ns(),splines,splines::ns(),generate basis matrix for natural cubic splines,https://rdrr.io/r/splines/ns.html
num_range(),tidyselect,tidyselect::num_range(),match column names with number range,https://tidyselect.r-lib.org/reference/starts_with.html
numericInput(),shiny,shiny::numericInput(),allow numeric input in Shiny,https://shiny.rstudio.com/reference/shiny/latest/numericInput.html
object_size(),pryr,pryr::object_size(),compute size of object,https://rdrr.io/cran/pryr/man/object_size.html
OlsonNames(),base,base::OlsonNames(),return vector of all time zone names,https://rdrr.io/r/base/timezones.html
optim(),stats,stats::optim(),apply optimization algorithm,https://rdrr.io/r/stats/optim.html
opts_chunk(),knitr,knitr::opts_chunk(),set options for R code chunks,https://rdrr.io/pkg/knitr/man/opts_chunk.html
opts_chunk$set(),knitr,knitr::opts_chunk$set(),set knitr code chunk options,https://rdrr.io/pkg/knitr/man/opts_chunk.html
parse_character(),readr,readr::parse_character(),parse a character vector to characters,https://readr.tidyverse.org/reference/parse_atomic.html
parse_date(),readr,readr::parse_date(),parse date,https://readr.tidyverse.org/reference/parse_datetime.html
parse_datetime(),readr,readr::parse_datetime(),parse date/time,https://readr.tidyverse.org/reference/parse_datetime.html
parse_double(),readr,readr::parse_double(),parse a character vector to doubles,https://readr.tidyverse.org/reference/parse_atomic.html
parse_factor(),readr,readr::parse_factor(),parse a character vector to factors,https://readr.tidyverse.org/reference/parse_atomic.html
parse_guess(),readr,readr::parse_guess(),parse the column based on the guessed type,https://readr.tidyverse.org/reference/parse_guess.html
parse_integer(),readr,readr::parse_integer(),parse a character vector to integers,https://readr.tidyverse.org/reference/parse_atomic.html
parse_logical(),readr,readr::parse_logical(),parse a character vector to logicals,https://readr.tidyverse.org/reference/parse_atomic.html
parse_number(),readr,readr::parse_number(),parse a character vector to numbers,https://readr.tidyverse.org/reference/parse_atomic.html
parse_time(),readr,readr::parse_time(),parse time,https://readr.tidyverse.org/reference/parse_datetime.html
pdf_document(),rmarkdown,rmarkdown::pdf_document(),create PDF document from R markdown file,https://rdrr.io/pkg/rmarkdown/man/pdf_document.html
pivot_longer(),tidyr,tidyr::pivot_longer(),pivot data frame to be longer,https://tidyr.tidyverse.org/reference/pivot_longer.html
pivot_wider(),tidyr,tidyr::pivot_wider(),pivot data frame to be wider,https://tidyr.tidyverse.org/reference/pivot_wider.html
pmap(),purrr,purrr::pmap(),apply a function to multiple elements over a list of vectors in parallel,https://purrr.tidyverse.org/reference/map2.html
poly(),stats,stats::poly(),compute orthogonal polynomials,https://rdrr.io/r/stats/poly.html
possibly(),purrr,purrr::possibly(),safely return result or default when there is an error,https://purrr.tidyverse.org/reference/safely.html
print(),base,base::print(),prints argument,https://rdrr.io/r/base/print.html
quantile(),stats,stats::quantile(),calculate sample quantiles,https://rdrr.io/r/stats/quantile.html
quietly(),purrr,purrr::quietly(),"safely return result, messages, and warnings",https://purrr.tidyverse.org/reference/safely.html
quote(),base,base::quote(),returns quoted expression,https://rdrr.io/r/base/substitute.html
randomForest(),randomForest,randomForest::randomForest(),compute random forest model,https://www.rdocumentation.org/packages/randomForest/versions/4.7-1.1/topics/randomForest
rbind(),base,base::rbind(),bind rows in base R,https://rdrr.io/r/base/cbind.html
read_csv(),readr,readr::read_csv(),read comma delimited files,https://readr.tidyverse.org/reference/read_delim.html
read_csv2(),readr,readr::read_csv2(),read semicolon separated files,https://readr.tidyverse.org/reference/read_delim.html
read_delim(),readr,readr::read_delim(),read any kind of delimited file,https://readr.tidyverse.org/reference/read_delim.html
read_feather(),feather,feather::read_feather(),read feather files,https://www.rdocumentation.org/packages/feather/versions/0.3.5/topics/read_feather
read_file(),readr,readr::read_file(),read a complete file,https://readr.tidyverse.org/reference/read_file.html
read_fwf(),readr,readr::read_fwf(),read fixed width files,https://readr.tidyverse.org/reference/read_fwf.html
read_lines(),readr,readr::read_lines(),read lines from a file,https://readr.tidyverse.org/reference/read_lines.html
read_log(),readr,readr::read_log(),read Apache style log files,https://readr.tidyverse.org/reference/read_log.html
read_rds(),readr,readr::read_rds(),read RDS files,https://readr.tidyverse.org/reference/read_rds.html
read_table(),readr,readr::read_table(),read fixed width files separated by white space,https://readr.tidyverse.org/reference/read_table.html
read_tsv(),readr,readr::read_tsv(),read tab delimited files,https://readr.tidyverse.org/reference/read_delim.html
readRDS(),base,base::readRDS(),read RDS files,https://rdrr.io/r/base/readRDS.html
reduce(),purrr,purrr::reduce(),reduce list to single value by iteratively applying binary function,https://purrr.tidyverse.org/reference/reduce.html
regex(),base,base::regex(),use regular expressions,https://rdrr.io/r/base/regex.html
rename(),dplyr,dplyr::rename(),rename columns,https://dplyr.tidyverse.org/reference/rename.html
render_site(),rmarkdown,rmarkdown::render_site(),render R markdown documents into website,https://rdrr.io/pkg/rmarkdown/man/render_site.html
render(),rmarkdown,rmarkdown::render(),convert R markdown document to another format,https://rdrr.io/pkg/rmarkdown/man/render.html
reorder(),stats,stats::reorder(),reorder factor levels based on another variable,https://rdrr.io/r/stats/reorder.factor.html
rep(),base,base::rep(),"create repetitions of numbers, characters, etc.",https://rdrr.io/r/base/rep.html
return(),base,base::return(),return value,https://rdrr.io/r/base/function.html
revealjs_presentation(),revealjs,revealjs::revealjs_presentation(),create revealjs presentation from R markdown file,https://rdrr.io/cran/revealjs/man/revealjs_presentation.html
right_join(),dplyr,dplyr::right_join(),join two data sets keeping the observations in the right one,https://dplyr.tidyverse.org/reference/mutate-joins.html
rlm(),MASS,MASS::rlm(),compute robust linear model,https://rdrr.io/cran/MASS/man/rlm.html
round_date(),lubridate,lubridate::round_date(),round date-time,https://lubridate.tidyverse.org/reference/round_date.html
rpart(),rpart,rpart::rpart(),compute recursive partitioning  and regression trees,https://rdrr.io/cran/rpart/man/rpart.html
runif(),stats,stats::runif(),generate random number from uniform distribution,https://rdrr.io/r/stats/Uniform.html
safely(),purrr,purrr::safely(),safely return result and error,https://purrr.tidyverse.org/reference/safely.html
sample(),base,base::sample(),randomly sample from vector,https://rdrr.io/r/base/sample.html
saveRDS(),base,base::saveRDS(),write RDS files,https://rdrr.io/r/base/readRDS.html
scale_color_brewer(),ggplot2,ggplot2::scale_color_brewer(),map colors to data with ColorBrewer,https://ggplot2.tidyverse.org/reference/scale_brewer.html
scale_color_discrete(),ggplot2,ggplot2::scale_color_discrete(),scale color aesthetic to be discrete,https://ggplot2.tidyverse.org/reference/scale_colour_discrete.html
scale_color_gradient(),ggplot2,ggplot2::scale_color_gradient(),scale color aesthetic to continuous color gradient,https://ggplot2.tidyverse.org/reference/scale_gradient.html
scale_color_gradient2(),ggplot2,ggplot2::scale_color_gradient2(),scale color aesthetic to diverging color gradient,https://ggplot2.tidyverse.org/reference/scale_gradient.html
scale_color_manual(),ggplot2,ggplot2::scale_color_manual(),map colors to data manually,https://ggplot2.tidyverse.org/reference/scale_manual.html
scale_color_viridis(),viridis,viridis::scale_color_viridis(),scale color aesthetic to viridis color gradient,https://rdrr.io/cran/viridis/man/scale_viridis.html
scale_fill_gradient(),ggplot2,ggplot2::scale_fill_gradient(),scale fill aesthetic to continuous color gradient,https://ggplot2.tidyverse.org/reference/scale_gradient.html
scale_x_continuous(),ggplot2,ggplot2::scale_x_continuous(),scale x axis to be continuous,https://ggplot2.tidyverse.org/reference/scale_continuous.html
scale_x_date(),ggplot2,ggplot2::scale_x_date(),scale x axis to be date,https://ggplot2.tidyverse.org/reference/scale_date.html
scale_x_log10(),ggplot2,ggplot2::scale_x_log10(),scale x axis to be log base 10,https://ggplot2.tidyverse.org/reference/scale_continuous.html
scale_y_continuous(),ggplot2,ggplot2::scale_y_continuous(),scale y axis to be continuous,https://ggplot2.tidyverse.org/reference/scale_continuous.html
scale_y_log10(),ggplot2,ggplot2::scale_y_log10(),scale y axis to be log base 10,https://ggplot2.tidyverse.org/reference/scale_continuous.html
second(),lubridate,lubridate::second(),return or set second component of a date-time,https://lubridate.tidyverse.org/reference/second.html
select(),dplyr,dplyr::select(),keep specified columns,https://dplyr.tidyverse.org/reference/select.html
semi_join(),dplyr,dplyr::semi_join(),join two data sets keeping all observations in x that have a match in y,https://dplyr.tidyverse.org/reference/filter-joins.html
separate_rows(),tidyr,tidyr::separate_rows(),separate collapsed column into multiple rows,https://tidyr.tidyverse.org/reference/separate_rows.html
separate(),tidyr,tidyr::separate(),split single column into multiple columns,https://tidyr.tidyverse.org/reference/separate.html
seq_along(),base,base::seq_along(),return a sequence along the length of an object,https://rdrr.io/r/base/seq.html
seq_range(),modelr,modelr::seq_range(),return sequence over the range of a vector,https://modelr.tidyverse.org/reference/seq_range.html
seq(),base,base::seq(),create sequences of numbers,https://rdrr.io/r/base/seq.html
session.info(),sessioninfo,sessioninfo::session.info(),return R session info and loaded packages,https://rdrr.io/pkg/sessioninfo/man/session_info.html
sessionInfo(),utils,utils::sessionInfo(),"return info about R version, operating system, and loaded packages",https://rdrr.io/r/utils/sessionInfo.html
set_names(),magrittr,magrittr::set_names(),set names of object,https://magrittr.tidyverse.org/reference/aliases.html
